央视频道,#genre#
浙江卫视4K,http://113.95.138.226:8888/rtp/239.77.0.58:5146$3840×2160
江苏卫视4K,http://113.95.138.226:8888/rtp/239.77.0.57:5146$3840×2160
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.1.237:5146$3840×2160
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.0.244:5146$3840×2160
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.0.245:5146$3840×2160
南国都市4K,http://113.95.138.226:8888/rtp/239.253.43.99:5146$3840×2160
卫视频道,#genre#
重庆卫视,http://113.95.138.226:8888/rtp/239.77.1.162:5146$1920×1080
重庆卫视,http://113.95.138.226:8888/rtp/239.77.0.182:5146$1920×1080
江苏卫视,http://113.95.138.226:8888/rtp/239.77.1.18:5146$1920×1080
江苏卫视,http://113.95.138.226:8888/rtp/239.77.0.90:5146$1920×1080
浙江卫视,http://113.95.138.226:8888/rtp/239.77.0.89:5146$1920×1080
浙江卫视,http://113.95.138.226:8888/rtp/239.77.1.33:5146$1920×1080
东方卫视,http://113.95.138.226:8888/rtp/239.77.0.98:5146$1920×1080
东方卫视,http://113.95.138.226:8888/rtp/239.77.1.218:5146$1920×1080
深圳卫视,http://113.95.138.226:8888/rtp/239.77.1.148:5146$1920×1080
深圳卫视,http://113.95.138.226:8888/rtp/239.77.0.130:5146$1920×1080
深圳卫视,http://113.95.138.226:8888/rtp/239.77.1.3:5146$1920×1080
深圳卫视,http://113.95.138.226:8888/rtp/239.77.0.92:5146$1920×1080
深圳卫视,http://113.95.138.226:8888/rtp/239.77.1.107:5146$1920×1080
北京卫视,http://113.95.138.226:8888/rtp/239.77.0.232:5146$1920×1080
北京卫视,http://113.95.138.226:8888/rtp/239.77.1.4:5146$1920×1080
北京卫视,http://113.95.138.226:8888/rtp/239.77.1.151:5146$1920×1080
北京卫视,http://113.95.138.226:8888/rtp/239.77.0.91:5146$1920×1080
山东卫视,http://113.95.138.226:8888/rtp/239.77.0.94:5146$1920×1080
山东卫视,http://113.95.138.226:8888/rtp/239.77.1.142:5146$1920×1080
天津卫视,http://113.95.138.226:8888/rtp/239.77.1.141:5146$1920×1080
天津卫视,http://113.95.138.226:8888/rtp/239.77.1.182:5146$1920×1080
天津卫视,http://113.95.138.226:8888/rtp/239.77.0.131:5146$1920×1080
天津卫视,http://113.95.138.226:8888/rtp/239.77.0.97:5146$1920×1080
贵州卫视,http://113.95.138.226:8888/rtp/239.77.0.230:5146$1920×1080
贵州卫视,http://113.95.138.226:8888/rtp/239.77.1.221:5146$1920×1080
四川卫视,http://113.95.138.226:8888/rtp/239.77.0.159:5146$1920×1080
四川卫视,http://113.95.138.226:8888/rtp/239.77.1.215:5146$1920×1080
云南卫视,http://113.95.138.226:8888/rtp/239.253.43.37:5146$1920×1080
云南卫视,http://113.95.138.226:8888/rtp/239.253.43.100:5146$1920×1080
广西卫视,http://113.95.138.226:8888/rtp/239.77.0.139:5146$1920×1080
广西卫视,http://113.95.138.226:8888/rtp/239.253.43.36:5146$1920×1080
黑龙江卫视,http://113.95.138.226:8888/rtp/239.77.1.179:5146$1920×1080
黑龙江卫视,http://113.95.138.226:8888/rtp/239.77.0.93:5146$1920×1080
黑龙江卫视,http://113.95.138.226:8888/rtp/239.77.0.124:5146$1920×1080
黑龙江卫视,http://113.95.138.226:8888/rtp/239.77.1.6:5146$1920×1080
安徽卫视,http://113.95.138.226:8888/rtp/239.77.1.92:5146$1920×1080
安徽卫视,http://113.95.138.226:8888/rtp/239.77.0.183:5146$1920×1080
山西卫视,http://113.95.138.226:8888/rtp/239.77.1.74:5146$720×576
山西卫视,http://113.95.138.226:8888/rtp/239.77.0.69:5146$720×576
江西卫视,http://113.95.138.226:8888/rtp/239.77.0.149:5146$1920×1080
江西卫视,http://113.95.138.226:8888/rtp/239.77.1.219:5146$1920×1080
湖北卫视,http://113.95.138.226:8888/rtp/239.77.0.128:5146$1920×1080
湖北卫视,http://113.95.138.226:8888/rtp/239.77.1.93:5146$1920×1080
